system:index,CH4_mean,site,year,.geo
0,1908.0398309599427,Hassi R'mel,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1917.5515476757712,Hassi R'mel,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1912.47529879811,Hassi R'mel,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1912.842584255822,Hassi R'mel,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1928.6045224426834,Hassi R'mel,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
