system:index,date,.geo
20250105T153502_20250107T074416,2025-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T171632_20250107T093122,2025-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T185802_20250107T111452,2025-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T203932_20250107T124744,2025-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T222102_20250107T142432,2025-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T000232_20250107T160959,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T014402_20250107T175256,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T032532_20250108T011046,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T050702_20250107T212251,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T064832_20250107T225945,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T083003_20250108T003754,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T101133_20250108T022738,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T115303_20250108T042619,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T133433_20250108T054249,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T151603_20250108T081858,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T165733_20250108T091243,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T183903_20250108T105606,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T202033_20250108T122527,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T220203_20250108T135737,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T234333_20250108T155206,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T012503_20250108T173312,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T030633_20250108T191542,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T044803_20250108T205951,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T062933_20250108T224159,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T081103_20250109T002003,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T095234_20250109T021321,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T113404_20250109T040422,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T131534_20250109T052455,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T145704_20250109T065930,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T163834_20250109T085413,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T182004_20250109T104131,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T200134_20250109T120833,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T214304_20250109T135751,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T232434_20250109T153654,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108T010604_20250109T170854,2025-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108T024734_20250109T185807,2025-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108T042904_20250109T203952,2025-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108T061034_20250109T222522,2025-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108T075204_20250109T235501,2025-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108T093334_20250110T014957,2025-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108T111504_20250110T034123,2025-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108T125635_20250110T083602,2025-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108T143805_20250110T064054,2025-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108T161935_20250110T083408,2025-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108T180105_20250110T102535,2025-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108T194235_20250110T115034,2025-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108T212405_20250110T133846,2025-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108T230535_20250110T151321,2025-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T004705_20250110T165327,2025-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T022835_20250110T183640,2025-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T041005_20250110T201818,2025-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T055135_20250110T215811,2025-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T073305_20250110T233349,2025-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T091435_20250111T013128,2025-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T105606_20250111T032608,2025-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T123736_20250111T045821,2025-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T141906_20250111T062244,2025-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T160036_20250111T080700,2025-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T174206_20250111T100221,2025-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T192336_20250111T113441,2025-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T210506_20250111T192647,2025-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T224636_20250112T100807,2025-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T002806_20250111T162721,2025-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T020936_20250111T181604,2025-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T035106_20250111T200520,2025-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T053236_20250112T100833,2025-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T071406_20250111T232905,2025-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T085537_20250112T011548,2025-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T103707_20250112T025754,2025-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T121837_20250112T045127,2025-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T140007_20250112T095747,2025-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T154137_20250112T100901,2025-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T172307_20250112T093721,2025-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T190437_20250112T113042,2025-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T204607_20250112T132242,2025-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T222737_20250112T143547,2025-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250111T000907_20250112T162408,2025-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250111T015037_20250112T175900,2025-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250111T033207_20250112T194537,2025-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250111T051337_20250112T212339,2025-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250111T065508_20250113T082402,2025-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250111T083638_20250113T005406,2025-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250111T101808_20250113T082422,2025-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250111T115938_20250113T043200,2025-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250111T134108_20250113T053831,2025-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250111T152238_20250113T073230,2025-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250111T170408_20250113T091148,2025-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250111T184538_20250113T110749,2025-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250111T202708_20250113T161028,2025-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250111T220838_20250113T161218,2025-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250111T235009_20250113T155246,2025-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250112T013139_20250113T173834,2025-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250112T031309_20250113T192059,2025-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250112T045439_20250114T102208,2025-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250112T063609_20250113T230228,2025-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250112T081739_20250114T003000,2025-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250112T095909_20250114T021849,2025-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250112T114039_20250114T041556,2025-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250112T132209_20250114T052549,2025-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250112T150339_20250114T070946,2025-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250112T164509_20250114T085237,2025-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250112T182640_20250114T105649,2025-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250112T200810_20250114T124659,2025-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250112T214940_20250114T135737,2025-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250112T233110_20250114T153557,2025-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T011240_20250114T171907,2025-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T025410_20250114T185815,2025-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T043540_20250115T003947,2025-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T061710_20250114T223645,2025-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T075840_20250115T000920,2025-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T094011_20250115T020234,2025-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
